Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa25352	May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane
Mcavernosa30834	adaptation of rhodopsin mediated signaling
Mcavernosa09390	mitochondria-associated ubiquitin-dependent protein catabolic process
Mcavernosa05939	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
Mcavernosa11153	PiggyBac transposable
Mcavernosa28664	ribosomal protein L54
Mcavernosa23126	formin homology 2 domain containing
Mcavernosa03131	zinc transporter
Mcavernosa13812	Malate synthase
Mcavernosa23994	serine-type endopeptidase activity
Mcavernosa15958	cationic amino acid transporter
Mcavernosa19601	protein KIAA0930 homolog
Mcavernosa27461	Belongs to the eukaryotic ribosomal protein eS4 family
Mcavernosa18405	ATP-dependent microtubule motor activity, minus-end-directed
Mcavernosa01375	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Mcavernosa25167	ATP binding
Mcavernosa23463	protein serine/threonine phosphatase activity
Mcavernosa05394	BRE binding
Mcavernosa15527	ribosomal protein S22
Mcavernosa05217	Ethylene-responsive protein kinase Le-CTR1
Mcavernosa07650	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
Mcavernosa21025	transporter activity
Mcavernosa09933	ER membrane protein complex subunit 3
Mcavernosa14288	acid phosphatase activity
Mcavernosa06939	oligopeptide transmembrane transporter activity
Mcavernosa31974	Ankyrin repeat and KH domain-containing protein 1
Mcavernosa28072	Cytochrome P450
Mcavernosa10055	cell adhesion
Mcavernosa08198	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa07244	GTPase activity
Mcavernosa12213	Dynein axonemal light intermediate chain 1
Mcavernosa32134	Ras GTPase-activating protein
Mcavernosa28200	Putative zinc-finger domain
Mcavernosa01610	metal ion binding
Mcavernosa33389	2,4-dienoyl CoA reductase 2, peroxisomal
Mcavernosa18718	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
Mcavernosa30993	Dolichol kinase
Mcavernosa01536	ribosomal protein
Mcavernosa02793	ATP-dependent 3'-5' RNA helicase activity
Mcavernosa04139	uroporphyrinogen III biosynthetic process
Mcavernosa28430	THO complex
Mcavernosa18385	Transcriptional regulator, Out at first
Mcavernosa33553	Protein phosphatase 2A homologues, catalytic domain.
Mcavernosa24662	Golgi organization
Mcavernosa03664	Karyopherin alpha 5 (importin alpha 6)
Mcavernosa17508	regulation of cellular component size
Mcavernosa18457	epithelial cilium movement involved in determination of left/right asymmetry
Mcavernosa22727	galanin-activated signaling pathway
Mcavernosa14809	protein serine/threonine phosphatase activity
Mcavernosa16955	positive regulation of Notch signaling pathway
Mcavernosa21786	T-complex protein
Mcavernosa13533	cAMP-dependent protein kinase regulator activity
Mcavernosa24870	adenylate cyclase-activating dopamine receptor signaling pathway
Mcavernosa10290	regulation of sequestering of zinc ion
Mcavernosa22926	negative regulation of chromatin silencing
Mcavernosa03946	Chromosome 21 open reading frame 2
Mcavernosa25216	DNA repair protein RAD51 homolog
Mcavernosa17085	C2 domain-containing protein
Mcavernosa07133	G-protein coupled receptor activity
Mcavernosa26419	e3 ubiquitin-protein ligase
Mcavernosa14125	WW domain-binding protein 11
Mcavernosa07600	7 transmembrane receptor (rhodopsin family)
Mcavernosa32065	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa04517	Sterol regulatory element-binding protein 2
Mcavernosa10169	transmembrane transport
Mcavernosa03784	serine-type peptidase activity
Mcavernosa32392	Cofilin/tropomyosin-type actin-binding protein
Mcavernosa21373	Ankyrin repeat domain-containing protein 53
Mcavernosa33461	Thrombospondin-type laminin G domain and EAR
Mcavernosa08144	monoubiquitinated histone deubiquitination
Mcavernosa01848	protein import into mitochondrial matrix
Mcavernosa08876	elastin catabolic process
Mcavernosa03789	Ligand-gated ion channel
Mcavernosa18689	Enabled homolog
Mcavernosa05947	tRNA (cytosine-5-)-methyltransferase activity
Mcavernosa05623	carboxylic ester hydrolase activity
Mcavernosa20636	organic anion transmembrane transporter activity
Mcavernosa08114	adaptation of rhodopsin mediated signaling
Mcavernosa25919	ferric-chelate reductase activity
Mcavernosa16672	clathrin-dependent endocytosis
Mcavernosa02613	positive regulation of delayed rectifier potassium channel activity
Mcavernosa22406	response to cell cycle checkpoint signaling
Mcavernosa32112	Immunoglobulin-binding protein
Mcavernosa31702	zinc ion binding
Mcavernosa15316	transcription by RNA polymerase III
Mcavernosa06788	Tetratricopeptide repeats
Mcavernosa34716	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Mcavernosa14363	transposition, RNA-mediated
Mcavernosa01542	regulation of transcription involved in meiotic cell cycle
Mcavernosa15520	Interferon-inducible GTPase (IIGP)
Mcavernosa18946	Zinc ion binding
Mcavernosa18642	Transmembrane channel-like
Mcavernosa32339	Winged helix Storkhead-box1 domain
Mcavernosa14922	MAPEG family
Mcavernosa29923	methyl-CpG binding
Mcavernosa01814	DNA binding
Mcavernosa14831	metalloendopeptidase activity
Mcavernosa21173	protein-glycine ligase activity, initiating
Mcavernosa23298	NACHT and WD repeat
Mcavernosa19391	structural constituent of cuticle
Mcavernosa28118	A-type (transient outward) potassium channel activity
Mcavernosa06386	calcium-dependent cysteine-type endopeptidase activity
Mcavernosa07568	RIG-I binding
Mcavernosa09732	NIM1 serine threonine protein kinase
Mcavernosa28462	G-protein coupled receptor activity
Mcavernosa21794	mediates the voltage-dependent sodium ion permeability of excitable membranes
Mcavernosa20318	dynein light chain binding
Mcavernosa32403	Src homology 3 domains
Mcavernosa11230	transmembrane transport
Mcavernosa32011	Lysophosphatidylcholine acyltransferase
Mcavernosa03996	Sulfotransferase family
Mcavernosa11579	lipoprotein receptor-related protein 6
Mcavernosa13863	solute carrier family 37 (glucose-6-phosphate transporter), member
Mcavernosa02011	medium-chain fatty acid-CoA ligase activity
Mcavernosa00506	Pyruvate dehydrogenase phosphatase regulatory subunit
Mcavernosa00454	Transmembrane protein 5
Mcavernosa08441	tooth eruption
Mcavernosa35133	Tripartite ATP-independent periplasmic transporters, DctQ component
Mcavernosa11043	Sperm surface zona pellucida binding protein. Helps to bind spermatozoa to the zona pellucida with high affinity. Might function in binding zona pellucida and carbohydrates
Mcavernosa10357	cell cycle G1/S phase transition
Mcavernosa28714	snRNA processing
Mcavernosa00970	ribosomal large subunit assembly
Mcavernosa16788	structural constituent of ribosome
Mcavernosa01676	6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate
Mcavernosa17184	peptidyl-threonine phosphorylation
Mcavernosa18043	cardiac jelly development
Mcavernosa33347	glucose-6-phosphate isomerase activity
Mcavernosa33533	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
Mcavernosa04158	intracellular signal transduction
Mcavernosa02075	dehydrogenase-like
Mcavernosa16264	Chromosome X open reading frame 58
Mcavernosa24889	Mitochondrial assembly of ribosomal large subunit
Mcavernosa24976	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA
Mcavernosa00363	Methyltransferase domain
Mcavernosa05341	arm function in wg signal transduction is required early in development for determination of neuroblast fate. Arm and Abl proteins function cooperatively at adherens junctions in both the CNS and epidermis
Mcavernosa21000	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis
Mcavernosa07409	translation initiation factor activity
Mcavernosa13199	oligomeric golgi complex
Mcavernosa20143	Universal stress protein family
Mcavernosa10063	F5/8 type C domain
Mcavernosa30751	scavenger receptor activity
Mcavernosa21524	UDP-xylosyltransferase activity
Mcavernosa13149	trypsinogen activation
Mcavernosa20300	Kelch motif
Mcavernosa15837	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Mcavernosa34184	non-haem dioxygenase in morphine synthesis N-terminal
Mcavernosa27906	calcium ion transmembrane transport
Mcavernosa03615	Nudix (Nucleoside diphosphate linked moiety X)-type motif 1
Mcavernosa14391	Homeobox even-skipped homolog protein 1
Mcavernosa33179	axonogenesis involved in innervation
Mcavernosa09879	tubulin polyglutamylase complex subunit
Mcavernosa19470	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa08092	Sterol-sensing domain of SREBP cleavage-activation
Mcavernosa12264	metalloendopeptidase activity
Mcavernosa25663	protein N-linked glycosylation via asparagine
Mcavernosa20269	formation of cytoplasmic translation initiation complex
Mcavernosa12165	Pentafunctional AROM polypeptide-like
Mcavernosa22591	Synaptic vesicle membrane protein VAT-1 homolog
Mcavernosa19834	negative regulation of smooth muscle cell differentiation
Mcavernosa32726	ion channel activity
Mcavernosa21423	organic anion transmembrane transporter activity
Mcavernosa16968	heme binding
Mcavernosa04575	metalloaminopeptidase activity
Mcavernosa14107	polycystic kidney disease protein 1-like
Mcavernosa25365	endoplasmic reticulum unfolded protein response
Mcavernosa04695	keratinization
Mcavernosa09358	protein-cysteine S-acyltransferase activity
Mcavernosa22636	Rab guanyl-nucleotide exchange factor activity
Mcavernosa22430	cargo loading into COPII-coated vesicle
Mcavernosa03584	ubiquitin-protein transferase activity
Mcavernosa06771	Calponin family repeat
Mcavernosa28754	calmodulin-dependent protein kinase activity
Mcavernosa22632	otolith morphogenesis
Mcavernosa00840	histone H3 acetylation
Mcavernosa14398	threonine-type endopeptidase activity
Mcavernosa08448	Yae1 domain containing 1
Mcavernosa16973	BCCT, betaine/carnitine/choline family transporter
Mcavernosa22116	transmembrane receptor protein serine/threonine kinase activity
Mcavernosa18980	Tetratricopeptide repeat
Mcavernosa03250	RNA secondary structure unwinding
Mcavernosa29545	DNL-type zinc finger
Mcavernosa32666	phosphatidylcholine-translocating ATPase activity
Mcavernosa11936	DBH-like monooxygenase protein 1
Mcavernosa04593	cell cycle
Mcavernosa00902	Universal stress protein family
Mcavernosa09319	acid phosphatase activity
Mcavernosa15836	Protein phosphatase inhibitor that specifically inhibits protein phosphatase 2A (PP2A) during mitosis
Mcavernosa11801	activation of NF-kappaB-inducing kinase activity
Mcavernosa27073	solute carrier family 22
Mcavernosa11986	regulation of short-term neuronal synaptic plasticity
Mcavernosa16425	Astacin (Peptidase family M12A)
Mcavernosa04067	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate
Mcavernosa26509	ubiquitin conjugating enzyme binding
Mcavernosa32008	regulation of ryanodine-sensitive calcium-release channel activity
Mcavernosa35036	mRNA methylation
Mcavernosa32652	Src homology 3 domains
Mcavernosa12742	glutathione S-transferase
Mcavernosa22520	histone dephosphorylation
Mcavernosa21087	LicD family
Mcavernosa16604	acidic dipeptidase 2
Mcavernosa26544	supervillin
Mcavernosa11276	repeat and coiled-coil
Mcavernosa08603	syntaxin binding
Mcavernosa31286	phosphatidate cytidylyltransferase activity
Mcavernosa24213	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation
Mcavernosa03444	WD repeat domain 48
Mcavernosa31292	proton-exporting ATPase activity, phosphorylative mechanism
Mcavernosa08080	-
Mcavernosa30494	Macro domain
Mcavernosa08615	Ligand-gated ion channel
Mcavernosa14276	Astacin (Peptidase family M12A)
Mcavernosa24447	regulation of ligase activity
Mcavernosa17868	Beige/BEACH domain
Mcavernosa13635	Tetratricopeptide repeat
Mcavernosa26050	Male-specific lethal 3 homolog
Mcavernosa29424	rRNA processing
Mcavernosa10378	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity
Mcavernosa31847	acetylcholine-gated cation-selective channel activity
Mcavernosa13939	receptor-like protein kinase
Mcavernosa22409	Structural maintenance of chromosomes
Mcavernosa24695	RNA polymerase II core promoter sequence-specific DNA binding
Mcavernosa03385	Folate receptor family
Mcavernosa11636	cytoplasmic dynein 2 heavy chain
Mcavernosa11843	[methionine synthase] reductase activity
Mcavernosa08658	bisphosphoglycerate 3-phosphatase activity
Mcavernosa27835	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
Mcavernosa04274	ubiquitin-ubiquitin ligase activity
Mcavernosa26841	G-protein coupled receptor activity
Mcavernosa31887	glutathione synthase activity
Mcavernosa26178	coiled-coil domain-containing protein
Mcavernosa25240	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c
Mcavernosa03285	von Willebrand factor (vWF) type A domain
Mcavernosa02082	cellular response to vasopressin
Mcavernosa20559	Zinc-dependent metalloprotease
Mcavernosa15103	Lipoxygenase homology domains 1
Mcavernosa30821	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Mcavernosa00348	DIRAS family, GTP-binding Ras-like
Mcavernosa13370	Protein present in Fab1, YOTB, Vac1, and EEA1
Mcavernosa06317	Thyroid adenoma associated
Mcavernosa15330	adrenal chromaffin cell differentiation
Mcavernosa17886	G-protein coupled receptor activity
Mcavernosa16073	complement component C3a binding
Mcavernosa24488	very long-chain fatty acid-CoA ligase activity
Mcavernosa08261	Transcription elongation regulator
Mcavernosa14320	regulation of mature B cell apoptotic process
Mcavernosa29519	Kringle domain
Mcavernosa18893	Phosphatidylinositol glycan anchor biosynthesis, class G
Mcavernosa27017	ATP-dependent RNA helicase
Mcavernosa06749	nucleosome assembly
Mcavernosa14001	Alpha amylase, catalytic domain
Mcavernosa25808	acidic dipeptidase
Mcavernosa03046	YLP motif-containing protein
Mcavernosa02127	protein kinase activity
Mcavernosa31516	Nidogen-like
Mcavernosa02054	protein C2orf50 homolog
Mcavernosa03344	WD repeat domain 63
Mcavernosa03563	Transmembrane protein 43
Mcavernosa05176	Mitochondrial sodium hydrogen exchanger
Mcavernosa11324	Nucleolysin TIA-1 isoform p40 isoform X1
Mcavernosa32455	heavy chain
Mcavernosa05655	NME NM23 family member
Mcavernosa30056	negative regulation of serine-type peptidase activity
Mcavernosa29985	Ferritin receptor that mediates non-transferrin- dependent delivery of iron. Mediates cellular uptake of ferritin- bound iron by stimulating ferritin endocytosis from the cell surface with consequent iron delivery within the cell. Delivery of iron to cells by ferritin is required for the development of specific cell types, suggesting the existence of cell type- specific mechanisms of iron traffic in organogenesis, which alternatively utilize transferrin or non-transferrin iron delivery pathways
